Get called at C:\Users\Markk\source\repos\WebApplication1\WebApplication1\bin\Debug\net7.0\WebApplication1.exe
Get called at 01/01/0001 0.00.00 System.Collections.Hashtable
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.32
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.33
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.34
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.35
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.35
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.36
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.37
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.38
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.39
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.40
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.40
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.41
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.42
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.43
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.44
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.44
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.45
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.46
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.47
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.48
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.48
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.49
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.50
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.51
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.52
Request from: https://localhost:7282/WeatherForecast at 22/08/2023 14.43.52
